MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,LIVE
4,FAIL
5,FAIL
6,LIVE
7,FAIL
8,LIVE
9,LIVE
10,LIVE
11,FAIL
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,LIVE
19,LIVE
20,LIVE
21,LIVE
22,LIVE
23,FAIL
24,LIVE
25,LIVE
26,FAIL
27,LIVE
28,FAIL
29,FAIL
30,LIVE
31,FAIL
32,LIVE
33,FAIL
77,FAIL
78,FAIL
79,FAIL
80,FAIL
81,LIVE
82,FAIL
83,LIVE
84,FAIL
85,LIVE
176,LIVE
177,FAIL
178,FAIL
179,LIVE
198,FAIL
199,FAIL
200,FAIL
201,FAIL
202,LIVE
203,FAIL
204,LIVE
205,FAIL
206,LIVE
214,LIVE
215,LIVE
216,FAIL
