1:COR:&&(boolean,boolean):!=(boolean,boolean):org.jfree.chart.util.ShapeUtilities@equal(java.awt.Shape,java.awt.Shape):128:s1 instanceof Line2D && s2 instanceof Line2D |==> s1 instanceof Line2D != s2 instanceof Line2D
2:COR:&&(boolean,boolean):==(boolean,boolean):org.jfree.chart.util.ShapeUtilities@equal(java.awt.Shape,java.awt.Shape):128:s1 instanceof Line2D && s2 instanceof Line2D |==> s1 instanceof Line2D == s2 instanceof Line2D
3:COR:&&(boolean,boolean):FALSE(boolean,boolean):org.jfree.chart.util.ShapeUtilities@equal(java.awt.Shape,java.awt.Shape):128:s1 instanceof Line2D && s2 instanceof Line2D |==> false
4:COR:&&(boolean,boolean):LHS(boolean,boolean):org.jfree.chart.util.ShapeUtilities@equal(java.awt.Shape,java.awt.Shape):128:s1 instanceof Line2D && s2 instanceof Line2D |==> s1 instanceof Line2D
5:COR:&&(boolean,boolean):RHS(boolean,boolean):org.jfree.chart.util.ShapeUtilities@equal(java.awt.Shape,java.awt.Shape):128:s1 instanceof Line2D && s2 instanceof Line2D |==> s2 instanceof Line2D
6:COR:&&(boolean,boolean):TRUE(boolean,boolean):org.jfree.chart.util.ShapeUtilities@equal(java.awt.Shape,java.awt.Shape):128:s1 instanceof Line2D && s2 instanceof Line2D |==> true
7:COR:&&(boolean,boolean):||(boolean,boolean):org.jfree.chart.util.ShapeUtilities@equal(java.awt.Shape,java.awt.Shape):128:s1 instanceof Line2D && s2 instanceof Line2D |==> s1 instanceof Line2D || s2 instanceof Line2D
8:COR:&&(boolean,boolean):!=(boolean,boolean):org.jfree.chart.util.ShapeUtilities@equal(java.awt.Shape,java.awt.Shape):131:s1 instanceof Ellipse2D && s2 instanceof Ellipse2D |==> s1 instanceof Ellipse2D != s2 instanceof Ellipse2D
9:COR:&&(boolean,boolean):==(boolean,boolean):org.jfree.chart.util.ShapeUtilities@equal(java.awt.Shape,java.awt.Shape):131:s1 instanceof Ellipse2D && s2 instanceof Ellipse2D |==> s1 instanceof Ellipse2D == s2 instanceof Ellipse2D
10:COR:&&(boolean,boolean):FALSE(boolean,boolean):org.jfree.chart.util.ShapeUtilities@equal(java.awt.Shape,java.awt.Shape):131:s1 instanceof Ellipse2D && s2 instanceof Ellipse2D |==> false
11:COR:&&(boolean,boolean):LHS(boolean,boolean):org.jfree.chart.util.ShapeUtilities@equal(java.awt.Shape,java.awt.Shape):131:s1 instanceof Ellipse2D && s2 instanceof Ellipse2D |==> s1 instanceof Ellipse2D
