TestNo,MutantNo
1097,3
1097,6
1097,7
1097,9
1100,29
1100,32
1100,33
1100,35
1115,29
1115,32
1115,33
1115,35
1118,29
1118,32
1118,33
1118,35
1126,3
1126,6
1126,7
1126,9
1145,3
1145,6
1145,7
1145,9
1149,3
1149,6
1149,7
1149,9
1154,29
1154,32
1154,33
1154,35
1155,3
1155,6
1155,7
1155,9
1160,29
1160,32
1160,33
1160,35
1162,29
1162,32
1162,33
1162,35
1164,29
1164,32
1164,33
1164,35
1178,29
1178,32
1178,33
1178,35
1179,29
1179,32
1179,33
1179,35
1180,29
1180,32
1180,33
1180,35
1181,3
1181,6
1181,7
1181,9
1199,3
1199,6
1199,7
1199,9
1209,3
1209,6
1209,7
1209,9
1211,3
1211,6
1211,7
1211,9
1221,3
1221,6
1221,7
1221,9
1229,3
1229,6
1229,7
1229,9
1230,3
1230,6
1230,7
1230,9
1234,29
1234,32
1234,33
1234,35
1239,3
1239,6
1239,7
1239,9
1243,29
1243,32
1243,33
1243,35
1247,3
1247,6
1247,7
1247,9
1251,3
1251,6
1251,7
1251,9
1257,29
1257,32
1257,33
1257,35
1259,3
1259,6
1259,7
1259,9
1269,29
1269,32
1269,33
1269,35
1273,29
1273,32
1273,33
1273,35
1275,3
1275,6
1275,7
1275,9
1278,3
1278,6
1278,7
1278,9
1284,3
1284,6
1284,7
1284,9
1286,29
1286,32
1286,33
1286,35
1287,29
1287,32
1287,33
1287,35
1292,3
1292,6
1292,7
1292,9
1293,3
1293,6
1293,7
1293,9
1298,3
1298,6
1298,7
1298,9
1306,3
1306,6
1306,7
1306,9
1307,29
1307,32
1307,33
1307,35
1309,3
1309,6
1309,7
1309,9
1310,29
1310,32
1310,33
1310,35
1311,29
1311,32
1311,33
1311,35
1314,29
1314,32
1314,33
1314,35
1316,3
1316,6
1316,7
1316,9
1319,3
1319,6
1319,7
1319,9
1321,16
1321,19
1321,20
1321,22
1324,3
1324,6
1324,7
1324,9
1330,3
1330,6
1330,7
1330,9
1334,29
1334,32
1334,33
1334,35
1335,17
1335,18
1335,20
1335,22
1342,29
1342,32
1342,33
1342,35
1347,3
1347,6
1347,7
1347,9
1348,3
1348,6
1348,7
1348,9
1349,3
1349,6
1349,7
1349,9
1350,3
1350,6
1350,7
1350,9
1360,3
1360,6
1360,7
1360,9
1367,3
1367,6
1367,7
1367,9
1369,3
1369,6
1369,7
1369,9
1378,3
1378,6
1378,7
1378,9
1382,3
1382,6
1382,7
1382,9
1393,3
1393,6
1393,7
1393,9
1400,3
1400,6
1400,7
1400,9
1404,3
1404,6
1404,7
1404,9
1406,3
1406,6
1406,7
1406,9
1413,29
1413,32
1413,33
1413,35
1416,3
1416,6
1416,7
1416,9
1418,3
1418,6
1418,7
1418,9
1420,3
1420,6
1420,7
1420,9
1431,3
1431,6
1431,7
1431,9
1434,3
1434,6
1434,7
1434,9
1436,3
1436,6
1436,7
1436,9
1438,3
1438,6
1438,7
1438,9
